Output Areas Code,HHD_dep_education_PC,HHD_dep_employment_PC,HHD_dep_health_PC,HHD_dep_housing_PC
E00053439,0.15436241610738255,0.04697986577181208,0.31333333333333335,0.040268456375838924
E00053440,0.2196969696969697,0.03787878787878788,0.2727272727272727,0.05303030303030303
E00053441,0.13432835820895522,0.04477611940298507,0.31343283582089554,0.029850746268656716
E00053442,0.078125,0.0546875,0.28125,0.0234375
E00053443,0.06716417910447761,0.02962962962962963,0.23134328358208955,0.007462686567164179
E00053444,0.12213740458015267,0.022727272727272728,0.24242424242424243,0.007575757575757576
E00053445,0.1487603305785124,0.03278688524590164,0.3114754098360656,0.00819672131147541
E00053447,0.140625,0.03125,0.3203125,0.0078125
E00053448,0.10317460317460317,0.031496062992125984,0.29365079365079366,0.0078125
E00053450,0.152,0.008,0.264,0.04
E00053451,0.18115942028985507,0.06521739130434782,0.2898550724637681,0.043478260869565216
E00053452,0.22627737226277372,0.029197080291970802,0.3357664233576642,0.014598540145985401
E00053453,0.1984126984126984,0.1349206349206349,0.3968253968253968,0.11904761904761904
E00053454,0.21476510067114093,0.03355704697986577,0.24,0.07432432432432433
E00053455,0.09714285714285714,0.06285714285714286,0.23295454545454544,0.04
E00053456,0.21714285714285714,0.03428571428571429,0.30857142857142855,0.022857142857142857
E00053457,0.24087591240875914,0.07246376811594203,0.31386861313868614,0.02962962962962963
E00053458,0.22085889570552147,0.05521472392638037,0.25153374233128833,0.05521472392638037
E00053459,0.14285714285714285,0.04081632653061224,0.2465753424657534,0.006896551724137931
E00053460,0.310126582278481,0.0949367088607595,0.2911392405063291,0.05732484076433121
E00053462,0.13970588235294118,0.007352941176470588,0.29411764705882354,0.03676470588235294
E00053463,0.1574074074074074,0.07476635514018691,0.2616822429906542,0.009345794392523364
E00053464,0.15671641791044777,0.08955223880597014,0.31343283582089554,0.058823529411764705
E00053465,0.088,0.064,0.3225806451612903,0.008
E00053466,0.10483870967741936,0.0967741935483871,0.3064516129032258,0.048
E00053467,0.2,0.09090909090909091,0.3,0.03076923076923077
E00053468,0.256,0.16,0.4609375,0.032
E00053469,0.19480519480519481,0.07741935483870968,0.2857142857142857,0.025974025974025976
E00053470,0.2361111111111111,0.1736111111111111,0.4166666666666667,0.09027777777777778
E00053471,0.14960629921259844,0.11904761904761904,0.3779527559055118,0.031746031746031744
E00053472,0.07692307692307693,0.0916030534351145,0.3798449612403101,0.03076923076923077
E00053473,0.12173913043478261,0.008695652173913044,0.21739130434782608,0.043478260869565216
E00053474,0.4817073170731707,0.07317073170731707,0.4634146341463415,0.054878048780487805
E00053475,0.125,0.06666666666666667,0.3333333333333333,0.016666666666666666
E00053476,0.20945945945945946,0.10810810810810811,0.35135135135135137,0.07432432432432433
E00053477,0.18421052631578946,0.07017543859649122,0.32456140350877194,0.02631578947368421
E00053478,0.17894736842105263,0.07894736842105263,0.28421052631578947,0.05789473684210526
E00053479,0.25,0.13178294573643412,0.38636363636363635,0.11627906976744186
E00053480,0.296551724137931,0.14482758620689656,0.36551724137931035,0.04861111111111111
